Empresa,Ticker,Cotação,EV/EBIT,M. EBIT,Volume Médio,Situação Judicial
D1000VFARMA,DMVF3,9.15,0.06,0.01,2630000.0,FASE OPERACIONAL
CEB,CEBR6,198.0,0.16,706.26,227030.0,FASE OPERACIONAL
AZEVEDO,AZEV4,5.94,0.8,601.47,1530000.0,FASE OPERACIONAL
MINUPAR,MNPR3,15.49,2.91,14.58,722520.0,FASE OPERACIONAL
GERDAU MET,GOAU4,14.63,3.0,16.23,147100000.0,FASE OPERACIONAL
EVEN,EVEN3,10.14,3.36,17.09,15150000.0,FASE OPERACIONAL
HAGA S/A,HAGA4,2.84,3.48,27.46,638460.0,FASE OPERACIONAL
MARFRIG,MRFG3,18.53,3.84,11.56,176290000.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.35,4.1,57.88,210400.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,23.28,4.28,58.05,150340000.0,FASE OPERACIONAL
B3,B3SA3,17.1,4.37,61.43,740850000.0,FASE OPERACIONAL
WIZ S.A.,WIZS3,11.4,4.46,40.75,29300000.0,FASE OPERACIONAL
CELESC,CLSC4,69.01,4.88,8.09,362120.0,FASE OPERACIONAL
P.ACUCAR-CBD,PCAR3,37.54,5.03,5.73,259170000.0,FASE OPERACIONAL
TRAN PAULIST,TRPL4,26.96,5.03,116.52,41190000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,9.06,5.14,51.9,88270000.0,FASE OPERACIONAL
PETROBRAS,PETR4,26.09,5.18,45.61,1780000000.0,FASE OPERACIONAL
COPEL,CPLE6,6.23,5.21,22.77,78150000.0,FASE OPERACIONAL
RANDON PART,RAPT4,15.11,5.31,20.31,39600000.0,FASE OPERACIONAL
TAURUS ARMAS,TASA4,24.92,5.42,27.98,64550000.0,FASE OPERACIONAL
TAESA,TAEE4,13.25,5.52,91.56,3310000.0,FASE OPERACIONAL
ALLIED,ALLD3,18.15,5.59,6.39,882890.0,FASE OPERACIONAL
USIMINAS,USIM5,19.66,5.6,24.81,409110000.0,FASE OPERACIONAL
SER EDUCA,SEER3,14.0,5.69,25.09,9910000.0,FASE OPERACIONAL
MINERVA,BEEF3,9.81,5.71,8.97,103980000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,18.98,5.71,20.92,63660000.0,FASE OPERACIONAL
SANEPAR,SAPR4,4.14,5.76,32.74,19610000.0,FASE OPERACIONAL
CEMIG,CMIG4,13.46,5.8,21.92,117320000.0,FASE OPERACIONAL
JHSF PART,JHSF3,7.54,5.83,69.99,38990000.0,FASE OPERACIONAL
JBS,JBSS3,30.4,5.84,7.91,401650000.0,FASE OPERACIONAL
BATTISTELLA,BTTL3,19.41,5.98,9.15,203200.0,FASE OPERACIONAL
UNIPAR,UNIP6,86.02,6.01,27.88,28160000.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,33.5,6.07,18.83,659940.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,44.92,6.12,34.92,560000000.0,FASE OPERACIONAL
POSITIVO TEC,POSI3,13.25,6.5,13.26,85010000.0,FASE OPERACIONAL
LAVVI,LAVV3,7.71,6.9,31.04,11340000.0,FASE OPERACIONAL
LIGHT S/A,LIGT3,17.44,6.95,12.79,42200000.0,FASE OPERACIONAL
VALE,VALE3,110.2,6.97,34.21,2660000000.0,FASE OPERACIONAL
COPASA,CSMG3,17.51,7.09,24.2,38720000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,25.45,7.2,5.72,194640000.0,FASE OPERACIONAL
PLANOEPLANO,PLPL3,5.95,7.22,17.84,4790000.0,FASE OPERACIONAL
EUCATEX,EUCA3,22.5,7.6,12.1,207630.0,FASE OPERACIONAL
EUCATEX,EUCA4,10.91,7.6,12.1,3260000.0,FASE OPERACIONAL
GERDAU,GGBR3,27.52,7.71,16.26,4040000.0,FASE OPERACIONAL
GERDAU,GGBR4,32.55,7.71,16.26,469620000.0,FASE OPERACIONAL
MANGELS INDL,MGEL4,16.94,7.73,16.06,223160.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,25.5,7.77,26.03,176290000.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,30.76,7.83,34.26,26530000.0,FASE OPERACIONAL
CAMIL,CAML3,9.83,7.85,8.33,15130000.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,40.54,7.88,46.31,68660000.0,FASE OPERACIONAL
TIM,TIMS3,12.1,8.08,15.77,66830000.0,FASE OPERACIONAL
CRISTAL,CRPG5,70.8,8.12,23.7,927830.0,FASE OPERACIONAL
ACO ALTONA,EALT4,6.18,8.41,12.86,340010.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,12.88,8.42,15.49,16850000.0,FASE OPERACIONAL
WHIRLPOOL,WHRL4,8.13,8.45,10.92,207690.0,FASE OPERACIONAL
TENDA,TEND3,24.1,8.69,11.89,26290000.0,FASE OPERACIONAL
NEOENERGIA,NEOE3,18.2,8.75,16.39,34310000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,29.25,8.85,16.88,67020000.0,FASE OPERACIONAL
LOPES BRASIL,LPSB3,3.85,8.86,26.03,4490000.0,FASE OPERACIONAL
TERRA SANTA,TESA3,44.18,8.91,16.93,1350000.0,FASE OPERACIONAL
SLC AGRICOLA,SLCE3,48.35,9.07,25.03,63410000.0,FASE OPERACIONAL
SABESP,SBSP3,41.78,9.16,24.93,141080000.0,FASE OPERACIONAL
TRISUL,TRIS3,10.02,9.33,23.01,13120000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,11.28,9.41,16.16,3140000.0,FASE OPERACIONAL
CURY S/A,CURY3,9.12,9.5,20.98,10300000.0,FASE OPERACIONAL
LOG COM PROP,LOGG3,29.4,9.58,254.89,11730000.0,FASE OPERACIONAL
JALLESMACHAD,JALL3,8.67,9.74,40.66,6550000.0,FASE OPERACIONAL
IRANI,RANI3,7.4,9.78,18.84,17380000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.35,9.83,6.49,348420.0,FASE OPERACIONAL
PROFARMA,PFRM3,6.37,10.09,2.05,3180000.0,FASE OPERACIONAL
CESP,CESP3,28.4,10.17,47.26,326720.0,FASE OPERACIONAL
CESP,CESP6,25.2,10.17,47.26,60420000.0,FASE OPERACIONAL
EQTL PARA,EQPA3,4.77,10.19,19.46,223520.0,FASE OPERACIONAL
SCHULZ,SHUL4,10.38,10.19,14.02,4710000.0,FASE OPERACIONAL
REDE ENERGIA,REDE3,7.99,10.26,18.77,222060.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,21.5,10.28,6.8,88050000.0,FASE OPERACIONAL
ODONTOPREV,ODPV3,12.64,10.38,32.09,16120000.0,FASE OPERACIONAL
BRASKEM,BRKM3,51.15,10.6,9.17,1350000.0,FASE OPERACIONAL
BRASKEM,BRKM5,51.58,10.6,9.17,168410000.0,FASE OPERACIONAL
UNICASA,UCAS3,4.85,10.65,14.51,695500.0,FASE OPERACIONAL
SAO MARTINHO,SMTO3,33.23,10.72,35.23,36800000.0,FASE OPERACIONAL
ELETROBRAS,ELET3,43.21,10.73,30.42,232530000.0,FASE OPERACIONAL
ELETROBRAS,ELET6,43.02,10.73,30.42,100210000.0,FASE OPERACIONAL
MELNICK,MELK3,6.15,10.74,10.28,3810000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,15.77,10.99,34.36,31830000.0,FASE OPERACIONAL
PETTENATI,PTNT3,14.25,11.02,7.68,610560.0,FASE OPERACIONAL
FERBASA,FESA4,36.41,11.09,20.5,16940000.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,23.0,11.24,34.97,25980000.0,FASE OPERACIONAL
ENERGISA,ENGI11,46.29,11.28,15.04,76430000.0,FASE OPERACIONAL
ENERGISA,ENGI3,17.47,11.28,15.04,337020.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.27,11.28,15.04,428090.0,FASE OPERACIONAL
METAL LEVE,LEVE3,27.12,11.3,11.29,14000000.0,FASE OPERACIONAL
IHPARDINI,PARD3,20.98,11.37,15.19,8810000.0,FASE OPERACIONAL
SMILES,SMLS3,22.79,11.43,34.48,40790000.0,FASE OPERACIONAL
KEPLER WEBER,KEPL3,50.31,11.5,12.34,10190000.0,FASE OPERACIONAL
EMAE,EMAE4,87.4,11.67,36.45,332160.0,FASE OPERACIONAL
BRF SA,BRFS3,25.56,12.27,7.1,234210000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.35,12.44,35.35,3530000.0,FASE OPERACIONAL
CYRE COM-CCP,CCPR3,12.15,12.55,48.94,5180000.0,FASE OPERACIONAL
TELEF BRASIL,VIVT3,44.0,12.61,14.76,110090000.0,FASE OPERACIONAL
ASSAI,ASAI3,88.86,12.88,5.91,137520000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,57.5,13.02,22.34,237950.0,FASE OPERACIONAL
QUALICORP,QUAL3,29.08,13.17,32.42,83310000.0,FASE OPERACIONAL
COMGAS,CGAS5,160.0,13.26,22.78,302020.0,FASE OPERACIONAL
PETRORIO,PRIO3,18.85,13.29,51.73,470500000.0,FASE OPERACIONAL
TEGMA,TGMA3,22.56,13.45,11.29,10930000.0,FASE OPERACIONAL
JEREISSATI,JPSA3,29.21,13.49,48.64,7120000.0,FASE OPERACIONAL
LOG-IN,LOGN3,18.65,13.8,17.68,14690000.0,FASE OPERACIONAL
MONT ARANHA,MOAR3,300.0,13.9,226.69,201860.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,24.39,14.1,16.35,7300000.0,FASE OPERACIONAL
CCR SA,CCRO3,13.9,14.12,26.87,159710000.0,FASE OPERACIONAL
SUZANO S.A.,SUZB3,62.22,14.13,33.06,509180000.0,FASE OPERACIONAL
MITRE REALTY,MTRE3,11.65,14.41,8.85,10250000.0,FASE OPERACIONAL
SAO CARLOS,SCAR3,40.61,15.0,64.59,483970.0,FASE OPERACIONAL
SIMPAR,SIMH3,49.6,15.12,15.06,24800000.0,FASE OPERACIONAL
COSAN,CSAN3,21.95,15.27,18.7,245070000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.47,15.44,27.05,332610000.0,FASE OPERACIONAL
KLABIN S/A,KLBN11,25.92,15.78,25.45,203910000.0,FASE OPERACIONAL
KLABIN S/A,KLBN3,5.68,15.78,25.45,2080000.0,FASE OPERACIONAL
KLABIN S/A,KLBN4,5.07,15.78,25.45,10100000.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,12.38,15.8,21.84,49600000.0,FASE OPERACIONAL
PAGUE MENOS,PGMN3,11.89,15.9,5.08,9940000.0,FASE OPERACIONAL
MRV,MRVE3,17.54,16.7,10.76,64050000.0,FASE OPERACIONAL
TUPY,TUPY3,24.75,16.8,5.65,31900000.0,FASE OPERACIONAL
MOVIDA,MOVI3,17.6,16.81,17.39,36740000.0,FASE OPERACIONAL
PORTOBELLO,PTBL3,14.35,16.87,10.8,43450000.0,FASE OPERACIONAL
SPRINGS,SGPS3,11.4,16.97,4.74,1220000.0,FASE OPERACIONAL
VIAVAREJO,VVAR3,12.51,17.1,5.38,513700000.0,FASE OPERACIONAL
MULTIPLAN,MULT3,25.22,17.12,92.51,152610000.0,FASE OPERACIONAL
OUROFINO S/A,OFSA3,36.29,17.55,15.28,1110000.0,FASE OPERACIONAL
LOCAMERICA,LCAM3,27.12,17.77,17.05,64270000.0,FASE OPERACIONAL
FLEURY,FLRY3,26.7,17.78,18.04,46190000.0,FASE OPERACIONAL
INDS ROMI,ROMI3,27.59,18.04,12.38,47890000.0,FASE OPERACIONAL
BLAU,BLAU3,43.5,18.39,34.52,7770000.0,FASE OPERACIONAL
M.DIASBRANCO,MDIA3,27.49,18.45,7.44,36030000.0,FASE OPERACIONAL
ULTRAPAR,UGPA3,19.33,18.46,2.23,116820000.0,FASE OPERACIONAL
GRENDENE,GRND3,9.28,18.56,17.84,15590000.0,FASE OPERACIONAL
GRUPO MATEUS,GMAT3,7.92,18.58,6.77,33970000.0,FASE OPERACIONAL
FOCUS ON,POWE3,14.28,18.62,2.8,4200000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,9.44,18.65,108.2,14670000.0,FASE OPERACIONAL
TRACK FIELD,TFCO4,12.58,18.72,17.33,1800000.0,FASE OPERACIONAL
HYPERA,HYPE3,35.15,19.01,32.2,98250000.0,FASE OPERACIONAL
INTELBRAS,INTB3,27.02,19.5,17.62,32230000.0,FASE OPERACIONAL
DURATEX,DTEX3,21.31,19.89,12.88,47860000.0,FASE OPERACIONAL
COELCE,COCE5,57.76,19.95,6.4,998920.0,FASE OPERACIONAL
JSL,JSLG3,10.68,21.09,7.67,3840000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,30.28,21.53,18.24,9940000.0,FASE OPERACIONAL
QUERO-QUERO,LJQQ3,20.65,22.2,10.09,29000000.0,FASE OPERACIONAL
OMEGA GER,OMGE3,37.34,22.55,43.24,34810000.0,FASE OPERACIONAL
EZTEC,EZTC3,30.41,22.91,28.91,76010000.0,FASE OPERACIONAL
RUMO S.A.,RAIL3,20.8,22.98,30.11,185720000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,13.56,23.14,12.53,7090000.0,FASE OPERACIONAL
CAMBUCI,CAMB3,5.17,24.95,7.73,447180.0,FASE OPERACIONAL
HELBOR,HBOR3,8.61,25.43,8.6,17150000.0,FASE OPERACIONAL
ANIMA,ANIM3,12.05,26.21,12.99,26100000.0,FASE OPERACIONAL
LOCALIZA,RENT3,63.4,26.51,20.13,318180000.0,FASE OPERACIONAL
IGUATEMI,IGTA3,43.38,26.58,52.11,87610000.0,FASE OPERACIONAL
ORIZON,ORVR3,23.99,29.07,15.18,5470000.0,FASE OPERACIONAL
LOJAS AMERIC,LAME3,18.0,30.61,5.44,63100000.0,FASE OPERACIONAL
LOJAS AMERIC,LAME4,19.3,30.61,5.44,259610000.0,FASE OPERACIONAL
VAMOS,VAMO3,50.0,30.95,24.23,21860000.0,FASE OPERACIONAL
AERIS,AERI3,8.4,31.34,8.71,34200000.0,FASE OPERACIONAL
HBR REALTY,HBRE3,15.89,31.35,78.41,1970000.0,FASE OPERACIONAL
PADTEC,PDTC3,7.33,33.58,10.49,2050000.0,FASE OPERACIONAL
VIVARA S.A.,VIVA3,28.35,35.33,17.58,26700000.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,29.29,36.15,30.24,38660000.0,FASE OPERACIONAL
RNI,RDNI3,10.85,36.25,6.91,432270.0,FASE OPERACIONAL
HIDROVIAS,HBSA3,6.65,37.11,15.99,31640000.0,FASE OPERACIONAL
NEOGRID,NGRD3,6.74,37.65,16.52,25040000.0,FASE OPERACIONAL
DIMED,PNVL3,19.92,37.76,3.09,16070000.0,FASE OPERACIONAL
DIMED,PNVL4,19.89,37.76,3.09,246410.0,FASE OPERACIONAL
MOSAICO,MOSI3,19.91,38.44,21.49,37030000.0,FASE OPERACIONAL
OCEANPACT,OPCT3,7.83,39.15,6.23,10760000.0,FASE OPERACIONAL
MARCOPOLO,POMO3,2.56,40.06,2.58,612370.0,FASE OPERACIONAL
MARCOPOLO,POMO4,2.77,40.06,2.58,16980000.0,FASE OPERACIONAL
TOTVS,TOTS3,32.94,41.97,15.98,136430000.0,FASE OPERACIONAL
WEG,WEGE3,32.8,42.48,16.94,380510000.0,FASE OPERACIONAL
VULCABRAS,VULC3,8.98,44.96,4.18,5140000.0,FASE OPERACIONAL
RAIADROGASIL,RADL3,27.25,46.27,4.78,143520000.0,FASE OPERACIONAL
YDUQS PART,YDUQ3,31.02,47.11,6.74,77890000.0,FASE OPERACIONAL
INTERMEDICA,GNDI3,87.09,48.38,10.12,344250000.0,FASE OPERACIONAL
HAPVIDA,HAPV3,15.76,49.9,13.71,171980000.0,FASE OPERACIONAL
ESPACOLASER,ESPA3,17.7,50.61,16.41,21640000.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,44.62,52.97,12.57,64640000.0,FASE OPERACIONAL
CIA HERING,HGTX3,30.47,55.56,7.87,90540000.0,FASE OPERACIONAL
GRUPO NATURA,NTCO3,51.25,55.56,3.61,301510000.0,FASE OPERACIONAL
SANTOS BRP,STBP3,8.48,55.8,11.7,45250000.0,FASE OPERACIONAL
MILLS,MILS3,7.76,58.71,5.78,15550000.0,FASE OPERACIONAL
TECHNOS,TECN3,2.15,61.96,1.32,5230000.0,FASE OPERACIONAL
LOJAS RENNER,LREN3,46.0,64.95,8.98,414100000.0,FASE OPERACIONAL
PETZ,PETZ3,22.21,73.52,7.51,79030000.0,FASE OPERACIONAL
ALLIAR,AALR3,10.78,73.58,2.55,8110000.0,FASE OPERACIONAL
REDE D OR,RDOR3,73.5,74.67,13.54,130830000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,10.62,74.78,11.91,11400000.0,FASE OPERACIONAL
GAFISA,GFSA3,4.18,84.57,2.27,26590000.0,FASE OPERACIONAL
SEQUOIA LOG,SEQL3,22.36,85.49,3.48,20620000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,86.1,93.14,5.79,50270000.0,FASE OPERACIONAL
MAGAZ LUIZA,MGLU3,19.67,108.2,3.68,686090000.0,FASE OPERACIONAL
SINQIA,SQIA3,22.62,118.7,5.62,14060000.0,FASE OPERACIONAL
MELIUZ,CASH3,37.59,137.18,18.59,81380000.0,FASE OPERACIONAL
DASA,DASA3,58.0,176.09,2.55,13240000.0,FASE OPERACIONAL
RECRUSUL,RCSL3,7.44,204.62,3.6,14210000.0,FASE OPERACIONAL
RECRUSUL,RCSL4,1.68,204.62,3.6,4140000.0,FASE OPERACIONAL
B2W DIGITAL,BTOW3,57.99,236.84,1.12,255150000.0,FASE OPERACIONAL
LOCAWEB,LWSA3,25.8,310.87,7.58,226760000.0,FASE OPERACIONAL
